步骤	当前栈	输入串	动作	状态栈	ACTION	GOTO	
466	...... , ID assignment_operator primary_expression *	number , ID + = ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I34 I63 I47 I99	s99		
467	...... , ID assignment_operator primary_expression operator	number , ID + = ......	reduce(operator->* ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I34 I63 I47 I96	r9	I96	
468	...... ID assignment_operator primary_expression operator number	, ID + = ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I34 I63 I47 I96 I49	s49		
469	...... ID assignment_operator primary_expression operator primary_expression	, ID + = ID ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I34 I63 I47 I96 I128	r5	I128	
470	...... assignment_operator primary_expression operator primary_expression arithmetic_expression	, ID + = ID ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I34 I63 I47 I96 I128 I154	r17	I154	
471	...... , ID assignment_operator primary_expression arithmetic_expression	, ID + = ID ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I34 I63 I47 I89	r16	I89	
472	...... assignment_expression , ID assignment_operator constant_expression	, ID + = ID ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I34 I63 I43	r18	I43	
473	...... assignment_expression , ID assignment_operator expression	, ID + = ID ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I34 I63 I110	r31	I110	
474	...... statement else assignment_expression , assignment_expression	, ID + = ID ......	reduce(assignment_expression->ID assignment_operator expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I113	r25	I113	
475	...... else assignment_expression , assignment_expression ,	ID + = ID ; ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I113 I69	s69		
476	...... assignment_expression , assignment_expression , ID	+ = ID ; } ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I113 I69 I34	s34		
477	...... , assignment_expression , ID +	= ID ; } int ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I113 I69 I34 I64	s64		
478	...... assignment_expression , ID + =	ID ; } int ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I113 I69 I34 I64 I111	s111		
479	...... , assignment_expression , ID assignment_operator	ID ; } int ID ......	reduce(assignment_operator->+ = ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I113 I69 I34 I63	r20	I63	
480	...... assignment_expression , ID assignment_operator ID	; } int ID = ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I113 I69 I34 I63 I42	s42		
481	...... assignment_expression , ID assignment_operator primary_expression	; } int ID = ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I113 I69 I34 I63 I47	r4	I47	
482	...... , ID assignment_operator primary_expression arithmetic_expression	; } int ID = ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I113 I69 I34 I63 I47 I89	r17	I89	
483	...... assignment_expression , ID assignment_operator constant_expression	; } int ID = ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I113 I69 I34 I63 I43	r18	I43	
484	...... assignment_expression , ID assignment_operator expression	; } int ID = ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I113 I69 I34 I63 I110	r31	I110	
485	...... assignment_expression , assignment_expression , assignment_expression	; } int ID = ......	reduce(assignment_expression->ID assignment_operator expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I113 I69 I113	r25	I113	
486	...... , assignment_expression , assignment_expression assignment_expression_profix	; } int ID = ......	reduce(assignment_expression_profix->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I113 I69 I113 I134	r27	I134	
487	...... else assignment_expression , assignment_expression assignment_expression_profix	; } int ID = ......	reduce(assignment_expression_profix->, assignment_expression assignment_expression_profix ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I113 I134	r26	I134	
488	...... ) statement else assignment_expression assignment_expression_profix	; } int ID = ......	reduce(assignment_expression_profix->, assignment_expression assignment_expression_profix ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I68	r26	I68	
489	...... expression ) statement else assignment_expression_list	; } int ID = ......	reduce(assignment_expression_list->assignment_expression assignment_expression_profix ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I26	r28	I26	
490	...... ) statement else assignment_expression_list ;	} int ID = function ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I26 I55	s55		
491	...... expression ) statement else expression_statement	} int ID = function ......	reduce(expression_statement->assignment_expression_list ; ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I24	r62	I24	
492	...... expression ) statement else statement	} int ID = function ......	reduce(statement->expression_statement ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I210	r54	I210	
493	...... assignment_expression ) { statement selection_statement	} int ID = function ......	reduce(selection_statement->if ( expression ) statement else statement ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I36	r66	I36	
494	...... assignment_expression ) { statement statement	} int ID = function ......	reduce(statement->selection_statement ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I40	r56	I40	
495	...... ) { statement statement statement_list	} int ID = function ......	reduce(statement_list->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I40 I78	r61	I78	
496	...... assignment_expression ) { statement statement_list	} int ID = function ......	reduce(statement_list->statement statement_list ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I78	r60	I78	
497	...... ; assignment_expression ) { statement_list	} int ID = function ......	reduce(statement_list->statement statement_list ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I56	r60	I56	
498	...... assignment_expression ) { statement_list }	int ID = function ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I56 I103	s103		
499	...... expression ; assignment_expression ) compound_statement	int ID = function ID ......	reduce(compound_statement->{ statement_list } ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I31	r69	I31	
500	...... expression ; assignment_expression ) statement	int ID = function ID ......	reduce(statement->compound_statement ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I222	r58	I222	
501	...... statement statement statement statement iteration_statement	int ID = function ID ......	reduce(iteration_statement->for ( declaration expression ; assignment_expression ) statement ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I27	r68	I27	
502	...... statement statement statement statement statement	int ID = function ID ......	reduce(statement->iteration_statement ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40	r57	I40	
503	...... statement statement statement statement int	ID = function ID ( ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I8	s8		
504	...... statement statement statement statement type_specifier	ID = function ID ( ......	reduce(type_specifier->int ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22	r39	I22	
505	...... statement statement statement type_specifier ID	= function ID ( ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13	s13		
506	...... statement statement type_specifier ID =	function ID ( ID , ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18	s18		
507	...... statement type_specifier ID = function	ID ( ID , ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45	s45		
508	...... type_specifier ID = function ID	( ID , ID ) ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80	s80		
509	...... ID = function ID (	ID , ID ) ; ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122	s122		
510	...... = function ID ( ID	, ID ) ; int ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I142	s142		
511	...... = function ID ( primary_expression	, ID ) ; int ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I148	r4	I148	
512	...... function ID ( primary_expression arithmetic_expression	, ID ) ; int ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I148 I180	r17	I180	
513	...... = function ID ( constant_expression	, ID ) ; int ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I143	r18	I143	
514	...... = function ID ( expression	, ID ) ; int ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I150	r31	I150	
515	...... function ID ( expression ,	ID ) ; int ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I150 I183	s183		
516	...... ID ( expression , ID	) ; int ID = ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I150 I183 I142	s142		
517	...... ID ( expression , primary_expression	) ; int ID = ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I150 I183 I148	r4	I148	
518	...... ( expression , primary_expression arithmetic_expression	) ; int ID = ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I150 I183 I148 I180	r17	I180	
519	...... ID ( expression , constant_expression	) ; int ID = ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I150 I183 I143	r18	I143	
520	...... ID ( expression , expression	) ; int ID = ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I150 I183 I204	r31	I204	
521	...... ( expression , expression expression_profix	) ; int ID = ......	reduce(expression_profix->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I150 I183 I204 I217	r34	I217	
522	...... function ID ( expression expression_profix	) ; int ID = ......	reduce(expression_profix->, expression expression_profix ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I150 I182	r33	I182	
523	...... = function ID ( expression_list	) ; int ID = ......	reduce(expression_list->expression expression_profix ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I145	r35	I145	
524	...... function ID ( expression_list )	; int ID = number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I45 I80 I122 I145 I178	s178		
525	...... statement type_specifier ID = function_expression	; int ID = number ......	reduce(function_expression->function ID ( expression_list ) ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I44	r30	I44	
526	...... statement type_specifier ID = expression	; int ID = number ......	reduce(expression->function_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I18 I48	r32	I48	
527	...... statement statement type_specifier ID declaration_assign	; int ID = number ......	reduce(declaration_assign->= expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I13 I19	r41	I19	
528	...... statement statement statement type_specifier declaration_init	; int ID = number ......	reduce(declaration_init->ID declaration_assign ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I52	r43	I52	
529	...... statement statement type_specifier declaration_init declaration_init_list	; int ID = number ......	reduce(declaration_init_list->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I52 I101	r45	I101	
530	...... statement type_specifier declaration_init declaration_init_list ;	int ID = number * ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I22 I52 I101 I129	s129		
531	...... statement statement statement statement declaration	int ID = number * ......	reduce(declaration->type_specifier declaration_init declaration_init_list ; ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I32	r46	I32	
532	...... statement statement statement statement statement	int ID = number * ......	reduce(statement->declaration ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40	r59	I40	
533	...... statement statement statement statement int	ID = number * number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I8	s8		
534	...... statement statement statement statement type_specifier	ID = number * number ......	reduce(type_specifier->int ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22	r39	I22	
535	...... statement statement statement type_specifier ID	= number * number + ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13	s13		
536	...... statement statement type_specifier ID =	number * number + number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18	s18		
537	...... statement type_specifier ID = number	* number + number / ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I49	s49		
538	...... statement type_specifier ID = primary_expression	* number + number / ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47	r5	I47	
539	...... type_specifier ID = primary_expression *	number + number / ( ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I99	s99		
540	...... type_specifier ID = primary_expression operator	number + number / ( ......	reduce(operator->* ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96	r9	I96	
541	...... ID = primary_expression operator number	+ number / ( number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I49	s49		
542	...... ID = primary_expression operator primary_expression	+ number / ( number ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128	r5	I128	
543	...... = primary_expression operator primary_expression +	number / ( number * ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I93	s93		
544	...... = primary_expression operator primary_expression operator	number / ( number * ......	reduce(operator->+ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96	r7	I96	
545	...... primary_expression operator primary_expression operator number	/ ( number * number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I49	s49		
546	...... primary_expression operator primary_expression operator primary_expression	/ ( number * number ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128	r5	I128	
547	...... operator primary_expression operator primary_expression /	( number * number ) ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I95	s95		
548	...... operator primary_expression operator primary_expression operator	( number * number ) ......	reduce(operator->/ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96	r10	I96	
549	...... primary_expression operator primary_expression operator (	number * number ) - ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I46	s46		
550	...... operator primary_expression operator ( number	* number ) - number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I46 I88	s88		
551	...... operator primary_expression operator ( primary_expression	* number ) - number ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I46 I87	r5	I87	
552	...... primary_expression operator ( primary_expression *	number ) - number + ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I46 I87 I99	s99		
553	...... primary_expression operator ( primary_expression operator	number ) - number + ......	reduce(operator->* ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I46 I87 I127	r9	I127	
554	...... operator ( primary_expression operator number	) - number + ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I46 I87 I127 I88	s88		
555	...... operator ( primary_expression operator primary_expression	) - number + ID ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I46 I87 I127 I153	r5	I153	
556	...... ( primary_expression operator primary_expression arithmetic_expression	) - number + ID ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I46 I87 I127 I153 I185	r17	I185	
557	...... primary_expression operator ( primary_expression arithmetic_expression	) - number + ID ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I46 I87 I126	r16	I126	
558	...... operator primary_expression operator ( constant_expression	) - number + ID ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I46 I82	r18	I82	
559	...... operator primary_expression operator ( expression	) - number + ID ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I46 I83	r31	I83	
560	...... primary_expression operator ( expression )	- number + ID - ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I46 I83 I123	s123		
561	...... primary_expression operator primary_expression operator primary_expression	- number + ID - ......	reduce(primary_expression->( expression ) ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128	r6	I128	
562	...... operator primary_expression operator primary_expression -	number + ID - ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I91	s91		
563	...... operator primary_expression operator primary_expression operator	number + ID - ID ......	reduce(operator->- ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96	r8	I96	
564	...... primary_expression operator primary_expression operator number	+ ID - ID + ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I49	s49		
565	...... primary_expression operator primary_expression operator primary_expression	+ ID - ID + ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128	r5	I128	
566	...... operator primary_expression operator primary_expression +	ID - ID + ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I93	s93		
567	...... operator primary_expression operator primary_expression operator	ID - ID + ID ......	reduce(operator->+ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I96	r7	I96	
568	...... primary_expression operator primary_expression operator ID	- ID + ID ; ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I96 I42	s42		
569	...... primary_expression operator primary_expression operator primary_expression	- ID + ID ; ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128	r4	I128	
570	...... operator primary_expression operator primary_expression -	ID + ID ; while ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I91	s91		
571	...... operator primary_expression operator primary_expression operator	ID + ID ; while ......	reduce(operator->- ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I96	r8	I96	
572	...... primary_expression operator primary_expression operator ID	+ ID ; while ( ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I96 I42	s42		
573	...... primary_expression operator primary_expression operator primary_expression	+ ID ; while ( ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128	r4	I128	
574	...... operator primary_expression operator primary_expression +	ID ; while ( ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I93	s93		
575	...... operator primary_expression operator primary_expression operator	ID ; while ( ID ......	reduce(operator->+ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I96	r7	I96	
576	...... primary_expression operator primary_expression operator ID	; while ( ID < ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I96 I42	s42		
577	...... primary_expression operator primary_expression operator primary_expression	; while ( ID < ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128	r4	I128	
578	...... operator primary_expression operator primary_expression arithmetic_expression	; while ( ID < ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I154	r17	I154	
579	...... operator primary_expression operator primary_expression arithmetic_expression	; while ( ID < ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I154	r16	I154	
580	...... operator primary_expression operator primary_expression arithmetic_expression	; while ( ID < ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I96 I128 I154	r16	I154	
581	...... operator primary_expression operator primary_expression arithmetic_expression	; while ( ID < ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I96 I128 I154	r16	I154	
582	...... operator primary_expression operator primary_expression arithmetic_expression	; while ( ID < ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I40 I40 I22 I13 I18 I47 I96 I128 I96 I128 I96 I128 I154	r16	I154	
